id;division;season;coach_id;assistant_id
1;R1 Dames;2016 - 2017;28;
2;R2 Dames;2016 - 2017;28;
3;P1 Dames;2016 - 2017;28;
4;P2 Dames;2016 - 2017;5;
5;R2 Hommes;2016 - 2017;5;
6;P1 Hommes;2016 - 2017;81;
7;P3 Hommes;2016 - 2017;;
8;U19 Filles Rég;2016 - 2017;;
9;U18 Garçons Prov;2016 - 2017;;
10;U18 Garçons Rég;2016 - 2017;;
11;U16 Filles Prov;2016 - 2017;;
12;U16 Garçons Prof;2016 - 2017;;
13;U14 Filles Rég A;2016 - 2017;;
14;U14 Filles Rég B;2016 - 2017;;
15;U14 Garçons Rég A;2016 - 2017;;
16;U14 Garçons Rég B;2016 - 2017;;
17;U12 Filles C-D;2016 - 2017;;
18;U12 Garçons A;2016 - 2017;;
19;U12 Garçons B;2016 - 2017;;
20;U10;2016 - 2017;;
21;U9 A;2016 - 2017;;
22;U9 B;2016 - 2017;;
23;U8 A;2016 - 2017;;
24;U8 B;2016 - 2017;;
25;U7 A;2016 - 2017;;
26;U7 B;2016 - 2017;;
27;U5;2016 - 2017;;
28;U6;2016 - 2017;;
29;R1 Dames;2017 - 2018;;
30;R2 Dames;2017 - 2018;;
31;P1 Dames;2017 - 2018;;
32;P2 Dames;2017 - 2018;;
33;R2 Hommes;2017 - 2018;;
34;P1 Hommes;2017 - 2018;;
35;P3 Hommes;2017 - 2018;;
36;U19 Filles Rég;2017 - 2018;;
37;U18 Garçons Prov;2017 - 2018;;
38;U18 Garçons Rég;2017 - 2018;;
39;U16 Filles Prov;2017 - 2018;;
40;U16 Garçons Prof;2017 - 2018;;
41;U14 Filles Rég A;2017 - 2018;;
42;U14 Filles Rég B;2017 - 2018;;
43;U14 Garçons Rég A;2017 - 2018;;
44;U14 Garçons Rég B;2017 - 2018;;
45;U12 Filles C-D;2017 - 2018;;
46;U12 Garçons A;2017 - 2018;;
47;U12 Garçons B;2017 - 2018;;
48;U10;2017 - 2018;;
49;U9 A;2017 - 2018;;
50;U9 B;2017 - 2018;;
51;U8 A;2017 - 2018;;
52;U8 B;2017 - 2018;;
53;U7 A;2017 - 2018;;
54;U7 B;2017 - 2018;;
55;U5;2017 - 2018;;
56;U6;2017 - 2018;;